;HT;Hmix;Hlocal;Hfeld;Hchave;Placa;codigo
1;NA;17.85;17.85;15.76;14.52;2;0106 A2_1_2
2;NA;11.4;11.4;11;10.64;3;0106 A2_1_3
3;26;26;20.73;18.63;16.86;4;0106 A2_1_4
4;23;23;20;17.68;16.09;5;0106 A2_1_5
5;NA;13.68;13.68;12.75;12.08;6;0106 A2_1_6
6;NA;13.01;13.01;12.27;11.68;7;0106 A2_1_7
7;NA;14.12;14.12;13.07;12.34;8;0106 A2_1_8
8;NA;11;11;10.65;10.35;9;0106 A2_1_9
9;NA;20.05;20.05;17.74;16.14;10;0106 A2_1_10
10;NA;18.36;18.36;16.16;14.85;12;0106 A2_1_12
11;NA;18.36;18.36;16.16;14.85;13;0106 A2_1_13
12;NA;11.5;11.5;11.09;10.72;14;0106 A2_1_14
13;NA;20.76;20.76;18.69;16.91;15;0106 A2_1_15
14;NA;14.67;14.67;13.45;12.65;16;0106 A2_1_16
15;NA;21.21;21.21;19.7;17.74;18;0106 A2_1_18
16;NA;17.85;17.85;15.76;14.52;19;0106 A2_1_19
17;NA;9.99;9.99;9.65;9.51;20;0106 A2_1_20
18;24;24;20.53;18.34;16.63;21;0106 A2_1_21
19;NA;19.58;19.58;17.25;15.74;22;0106 A2_1_22
20;NA;9.91;9.91;9.56;9.43;23;0106 A2_1_23
21;14;14;12.47;11.86;11.35;25;0106 A2_1_25
22;NA;10.24;10.24;9.93;9.75;26;0106 A2_1_26
23;NA;16.55;16.55;14.78;13.73;27;0106 A2_1_27
24;NA;17.22;17.22;15.28;14.13;28;0106 A2_1_28
25;21;21;21.29;20.91;18.75;29;0106 A2_1_29
26;23;23;19.58;17.25;15.74;30;0106 A2_1_30
27;NA;15.84;15.84;14.28;13.32;31;0106 A2_1_31
28;22;22;20.16;17.87;16.24;32;0106 A2_1_32
29;NA;10.42;10.42;10.11;9.9;33;0106 A2_1_33
30;17;17;16.04;14.42;13.44;34;0106 A2_1_34
31;11;11;9.47;8.98;8.94;35;0106 A2_1_35
32;19;19;20.1;17.81;16.19;36;0106 A2_1_36
33;NA;9.06;9.06;8.19;8.26;38;0106 A2_1_38
34;19.5;19.5;17.59;15.55;14.35;39;0106 A2_1_39
35;NA;18.67;18.67;16.42;15.06;40;0106 A2_1_40
36;NA;12.9;12.9;12.19;11.62;41;0106 A2_1_41
37;NA;14.88;14.88;13.61;12.78;44;0106 A2_1_44
38;23;23;17.68;15.62;14.41;45;0106 A2_1_45
39;NA;10.16;10.16;9.84;9.67;46;0106 A2_1_46
40;22;22;18.97;16.68;15.27;47;0106 A2_1_47
41;15;15;9.6;9.17;9.11;48;0106 A2_1_48
42;NA;11.1;11.1;10.74;10.42;49;0106 A2_1_49
43;25;25;20.61;18.46;16.72;50;0106 A2_1_50
44;NA;10.42;10.42;10.11;9.9;51;0106 A2_1_51
45;NA;18.52;18.52;16.29;14.95;52;0106 A2_1_52
46;NA;19.32;19.32;17;15.53;53;0106 A2_1_53
47;NA;14.12;14.12;13.07;12.34;54;0106 A2_1_54
48;14.5;14.5;13.46;12.59;11.98;1;0106 A2_2_1
49;NA;14.12;14.12;13.07;12.37;2;0106 A2_2_2
50;22;22;19.05;16.75;15.36;3;0106 A2_2_3
51;NA;18.02;18.02;15.89;14.66;4;0106 A2_2_4
52;NA;18.36;18.36;16.16;14.88;5;0106 A2_2_5
53;NA;14.12;14.12;13.07;12.37;6;0106 A2_2_6
54;NA;18.11;18.11;15.96;14.72;7;0106 A2_2_7
55;NA;9.68;9.68;9.27;9.21;8;0106 A2_2_8
56;21;21;20.44;18.22;16.57;9;0106 A2_2_9
57;NA;19.39;19.39;17.06;15.62;10;0106 A2_2_10
58;NA;11.71;11.71;11.26;10.88;11;0106 A2_2_11
59;NA;19.94;19.94;17.62;16.08;12;0106 A2_2_12
60;NA;13.12;13.12;12.35;11.78;13;0106 A2_2_13
61;NA;17.68;17.68;15.62;14.44;14;0106 A2_2_14
62;NA;17.68;17.68;15.62;14.44;15;0106 A2_2_15
63;NA;18.9;18.9;16.62;15.25;16;0106 A2_2_16
64;NA;13.01;13.01;12.27;11.71;17;0106 A2_2_17
65;NA;9.6;9.6;9.17;9.13;18;0106 A2_2_18
66;NA;13.01;13.01;12.27;11.71;19;0106 A2_2_19
67;21;21;19.19;16.87;15.46;20;0106 A2_2_20
68;8;8;9.03;8.08;8.19;21;0106 A2_2_21
69;14.5;14.5;11.4;11;10.67;22;0106 A2_2_22
70;NA;18.02;18.02;15.89;14.66;23;0106 A2_2_23
71;NA;15.94;15.94;14.35;13.41;24;0106 A2_2_24
72;NA;20.05;20.05;17.74;16.18;25;0106 A2_2_25
73;20.5;20.5;20.65;18.52;16.81;26;0106 A2_2_26
74;NA;11.2;11.2;10.83;10.52;27;0106 A2_2_27
75;NA;20.16;20.16;17.87;16.27;28;0106 A2_2_28
76;NA;16.15;16.15;14.5;13.53;29;0106 A2_2_29
77;NA;15.21;15.21;13.83;12.99;30;0106 A2_2_30
78;11;11;11.2;10.83;10.52;31;0106 A2_2_31
79;NA;17.94;17.94;15.82;14.61;32;0106 A2_2_32
80;NA;13.46;13.46;12.59;11.98;33;0106 A2_2_33
81;19;19;17.03;15.14;14.05;35;0106 A2_2_35
82;NA;15.63;15.63;14.13;13.23;36;0106 A2_2_36
83;NA;14.67;14.67;13.45;12.68;37;0106 A2_2_37
84;16;16;14.45;13.3;12.56;38;0106 A2_2_38
85;NA;13.79;13.79;12.83;12.17;39;0106 A2_2_39
86;NA;9.99;9.99;9.65;9.53;40;0106 A2_2_40
87;NA;17.68;17.68;15.62;14.44;42;0106 A2_2_42
88;NA;17.03;17.03;15.14;14.05;43;0106 A2_2_43
89;NA;11.71;11.71;11.26;10.88;44;0106 A2_2_44
90;16.5;16.5;19.83;17.5;15.98;45;0106 A2_2_45
91;9;9;8.96;7.67;7.83;46;0106 A2_2_46
92;NA;8.97;8.97;7.77;7.92;47;0106 A2_2_47
93;NA;16.65;16.65;14.85;13.82;48;0106 A2_2_48
94;NA;17.85;17.85;15.76;14.56;49;0106 A2_2_49
95;NA;14.99;14.99;13.68;12.87;50;0106 A2_2_50
96;NA;10.9;10.9;10.56;10.3;52;0106 A2_2_52
97;NA;14.01;14.01;12.99;12.3;53;0106 A2_2_53
98;20.5;20.5;19.77;17.44;15.92;54;0106 A2_2_54
99;NA;14.12;14.12;13.07;12.37;55;0106 A2_2_55
100;14;14;12.25;11.69;11.23;56;0106 A2_2_56
101;21.5;21.5;19.58;17.25;15.77;57;0106 A2_2_57
102;21;21;15.63;14.13;13.23;58;0106 A2_2_58
103;NA;13.01;13.01;12.27;11.71;59;0106 A2_2_59
104;NA;17.85;17.85;15.76;14.56;60;0106 A2_2_60
105;NA;15.84;15.84;14.28;13.35;61;0106 A2_2_61
106;NA;11.2;11.2;10.83;10.52;62;0106 A2_2_62
107;NA;9.34;9.34;8.79;8.8;63;0106 A2_2_63
108;NA;14.34;14.34;13.22;12.49;64;0106 A2_2_64
109;NA;20.05;20.05;17.74;16.18;65;0106 A2_2_65
110;NA;16.04;16.04;14.42;13.47;66;0106 A2_2_66
111;9;9;11.61;11.18;10.66;1;0237 A3_206SJQ_1
112;NA;9.99;9.99;9.65;9.4;2;0237 A3_206SJQ_2
113;9;9;13.57;12.67;11.88;3;0237 A3_206SJQ_3
114;NA;12.03;12.03;11.52;10.94;4.1;0237 A3_206SJQ_4.1
115;NA;9.75;9.75;9.37;9.17;4.2;0237 A3_206SJQ_4.2
116;NA;11.5;11.5;11.09;10.59;5;0237 A3_206SJQ_5
117;9.5;9.5;12.47;11.86;11.22;6;0237 A3_206SJQ_6
118;NA;13.68;13.68;12.75;11.94;7;0237 A3_206SJQ_7
119;10.5;10.5;13.35;12.51;11.75;8;0237 A3_206SJQ_8
120;NA;12.14;12.14;11.6;11.01;9;0237 A3_206SJQ_9
121;10;10;13.57;12.67;11.88;10;0237 A3_206SJQ_10
122;NA;11.93;11.93;11.43;10.87;12.1;0237 A3_206SJQ_12.1
123;NA;11.4;11.4;11;10.52;12.2;0237 A3_206SJQ_12.2
124;8.5;8.5;12.47;11.86;11.22;13;0237 A3_206SJQ_13
125;NA;10.42;10.42;10.11;9.79;14;0237 A3_206SJQ_14
126;8.5;8.5;13.79;12.83;12.01;15;0237 A3_206SJQ_15
127;NA;10.07;10.07;9.74;9.48;16;0237 A3_206SJQ_16
128;10;10;13.01;12.27;11.55;17;0237 A3_206SJQ_17
129;NA;11.4;11.4;11;10.52;18;0237 A3_206SJQ_18
130;NA;12.03;12.03;11.52;10.94;19;0237 A3_206SJQ_19
131;NA;12.25;12.25;11.69;11.08;20;0237 A3_206SJQ_20
132;NA;10.24;10.24;9.93;9.64;21.1;0237 A3_206SJQ_21.1
133;NA;11.61;11.61;11.18;10.66;22;0237 A3_206SJQ_22
134;10;10;15.1;13.76;12.75;23;0237 A3_206SJQ_23
135;8;8;10.42;10.11;9.79;24;0237 A3_206SJQ_24
136;8;8;9.06;8.19;8.17;26;0237 A3_206SJQ_26
137;8.25;8.25;14.67;13.45;12.51;27;0237 A3_206SJQ_27
138;NA;13.57;13.57;12.67;11.88;28;0237 A3_206SJQ_28
139;NA;10.42;10.42;10.11;9.79;29;0237 A3_206SJQ_29
140;NA;11.93;11.93;11.43;10.87;30;0237 A3_206SJQ_30
141;7;7;9.4;8.88;8.76;31;0237 A3_206SJQ_31
142;9;9;15.21;13.83;12.81;32;0237 A3_206SJQ_32
143;8.5;8.5;11;10.65;10.23;33;0237 A3_206SJQ_33
144;NA;11.93;11.93;11.43;10.87;34;0237 A3_206SJQ_34
145;8;8;10.33;10.02;9.71;35;0237 A3_206SJQ_35
146;NA;13.01;13.01;12.27;11.55;36;0237 A3_206SJQ_36
147;10.75;10.75;12.47;11.86;11.22;36;0237 A3_206SJQ_36
148;8.5;8.5;13.46;12.59;11.81;37;0237 A3_206SJQ_37
149;NA;10.9;10.9;10.56;10.16;38;0237 A3_206SJQ_38
150;9.5;9.5;13.01;12.27;11.55;39;0237 A3_206SJQ_39
151;NA;12.79;12.79;12.1;11.42;40;0237 A3_206SJQ_40
152;NA;11.5;11.5;11.09;10.59;41;0237 A3_206SJQ_41
153;NA;13.79;13.79;12.83;12.01;42;0237 A3_206SJQ_42
154;NA;11.1;11.1;10.74;10.31;43;0237 A3_206SJQ_43
155;NA;13.57;13.57;12.67;11.88;44;0237 A3_206SJQ_44
156;NA;11.82;11.82;11.35;10.81;45;0237 A3_206SJQ_45
157;9;9;12.68;12.02;11.35;46;0237 A3_206SJQ_46
158;NA;11.82;11.82;11.35;10.81;47;0237 A3_206SJQ_47
159;NA;10.9;10.9;10.56;10.16;47;0237 A3_206SJQ_47
160;10.5;10.5;13.57;12.67;11.88;48;0237 A3_206SJQ_48
161;NA;13.01;13.01;12.27;11.55;49;0237 A3_206SJQ_49
162;NA;12.47;12.47;11.86;11.22;50;0237 A3_206SJQ_50
163;7.5;7.5;9.99;9.65;9.4;51;0237 A3_206SJQ_51
164;NA;11.82;11.82;11.35;10.81;52;0237 A3_206SJQ_52
165;6;6;8.96;7.56;7.64;53;0237 A3_206SJQ_53
166;NA;10.33;10.33;10.02;9.71;54;0237 A3_206SJQ_54
167;NA;14.67;14.67;13.45;12.51;56;0237 A3_206SJQ_56
168;8;8;10.9;10.56;10.16;56;0237 A3_206SJQ_56
169;NA;11.4;11.4;11;10.52;58;0237 A3_206SJQ_58
170;10.5;10.5;13.57;12.67;11.88;59;0237 A3_206SJQ_59
171;NA;12.47;12.47;11.86;11.22;60;0237 A3_206SJQ_60
172;10;10;13.9;12.91;12.07;61;0237 A3_206SJQ_61
173;NA;13.24;13.24;12.43;11.68;62;0237 A3_206SJQ_62
174;NA;12.68;12.68;12.02;11.35;63;0237 A3_206SJQ_63
175;10;10;13.79;12.83;12.01;64;0237 A3_206SJQ_64
176;NA;12.79;12.79;12.1;11.42;65;0237 A3_206SJQ_65
177;NA;13.01;13.01;12.27;11.55;66;0237 A3_206SJQ_66
178;NA;12.68;12.68;12.02;11.35;67;0237 A3_206SJQ_67
179;NA;12.36;12.36;11.77;11.27;1;0412 A2_1_1
180;NA;13.68;13.68;12.75;12.07;2;0412 A2_1_2
181;NA;9.4;9.4;8.88;8.86;3;0412 A2_1_3
182;NA;10.16;10.16;9.84;9.66;4;0412 A2_1_4
183;NA;9.29;9.29;8.69;8.69;5.1;0412 A2_1_5.1
184;NA;8.98;8.98;7.88;7.99;5.2;0412 A2_1_5.2
185;NA;11.82;11.82;11.35;10.92;6;0412 A2_1_6
186;NA;11.1;11.1;10.74;10.42;7;0412 A2_1_7
187;NA;9.29;9.29;8.69;8.69;9;0412 A2_1_9
188;NA;16.55;16.55;14.78;13.72;10;0412 A2_1_10
189;NA;10.42;10.42;10.11;9.89;11;0412 A2_1_11
190;NA;12.03;12.03;11.52;11.06;12;0412 A2_1_12
191;NA;10.42;10.42;10.11;9.89;13;0412 A2_1_13
192;NA;8.97;8.97;7.77;7.9;14;0412 A2_1_14
193;NA;9.91;9.91;9.56;9.43;15;0412 A2_1_15
194;NA;15.94;15.94;14.35;13.37;16;0412 A2_1_16
195;NA;11.2;11.2;10.83;10.49;17;0412 A2_1_17
196;NA;12.68;12.68;12.02;11.48;18;0412 A2_1_18
197;NA;12.68;12.68;12.02;11.48;19;0412 A2_1_19
198;16;16;17.85;15.76;14.51;20;0412 A2_1_20
199;NA;16.35;16.35;14.64;13.61;22;0412 A2_1_22
200;NA;14.12;14.12;13.07;12.33;24;0412 A2_1_24
201;14;14;16.04;14.42;13.43;26;0412 A2_1_26
202;12.5;12.5;11.93;11.43;10.99;27;0412 A2_1_27
203;16;16;16.94;15.07;13.95;28;0412 A2_1_28
204;14;14;16.25;14.57;13.55;29;0412 A2_1_29
205;NA;11.71;11.71;11.26;10.85;30;0412 A2_1_30
206;NA;13.79;13.79;12.83;12.14;31.1;0412 A2_1_31.1
207;NA;9.68;9.68;9.27;9.19;31.2;0412 A2_1_31.2
208;NA;8.96;8.96;7.56;7.72;31.3;0412 A2_1_31.3
209;NA;9.4;9.4;8.88;8.86;32;0412 A2_1_32
210;NA;12.03;12.03;11.52;11.06;33;0412 A2_1_33
211;13.5;13.5;12.9;12.19;11.61;34;0412 A2_1_34
212;NA;14.12;14.12;13.07;12.33;35;0412 A2_1_35
213;NA;9.04;9.04;7.14;7.34;36;0412 A2_1_36
214;NA;13.79;13.79;12.83;12.14;39;0412 A2_1_39
215;NA;9.14;9.14;8.39;8.43;40;0412 A2_1_40
216;13.5;13.5;13.68;12.75;12.07;41;0412 A2_1_41
217;13.5;13.5;13.12;12.35;11.74;42;0412 A2_1_42
218;NA;11.3;11.3;10.92;10.56;43;0412 A2_1_43
219;14;14;14.45;13.3;12.52;44;0412 A2_1_44
220;NA;11.82;11.82;11.35;10.92;45;0412 A2_1_45
221;NA;11.2;11.2;10.83;10.49;46.1;0412 A2_1_46.1
222;NA;9.14;9.14;8.39;8.43;46.2;0412 A2_1_46.2
223;NA;8.97;8.97;7.77;7.9;47;0412 A2_1_47
224;NA;13.01;13.01;12.27;11.68;49;0412 A2_1_49
225;NA;12.14;12.14;11.6;11.13;50;0412 A2_1_50
226;NA;15.52;15.52;14.06;13.13;51;0412 A2_1_51
227;NA;9.18;9.18;8.49;8.52;52;0412 A2_1_52
228;13;13;13.35;12.51;11.88;53;0412 A2_1_53
229;16.5;16.5;15.1;13.76;12.89;54;0412 A2_1_54
230;14.5;14.5;14.23;13.14;12.39;55;0412 A2_1_55
231;10;10;10.16;9.84;9.66;56;0412 A2_1_56
232;NA;13.57;13.57;12.67;12.01;57;0412 A2_1_57
233;NA;9.75;9.75;9.37;9.27;58;0412 A2_1_58
234;NA;8.98;8.98;7.88;7.99;59;0412 A2_1_59
235;15.5;15.5;13.79;12.83;12.14;60;0412 A2_1_60
236;NA;11.93;11.93;11.43;10.99;61;0412 A2_1_61
237;NA;14.34;14.34;13.22;12.46;62;0412 A2_1_62
238;NA;9.06;9.06;8.19;8.26;63;0412 A2_1_63
239;NA;12.14;12.14;11.6;11.13;64;0412 A2_1_64
240;NA;10.7;10.7;10.38;10.12;65;0412 A2_1_65
241;14;14;14.99;13.68;12.83;66;0412 A2_1_66
242;NA;11.4;11.4;11;10.64;67;0412 A2_1_67
243;13.5;13.5;15.52;14.06;13.13;68;0412 A2_1_68
244;8;8;9.47;8.98;8.94;69;0412 A2_1_69
245;13;13;14.12;13.07;12.33;70;0412 A2_1_70
246;NA;14.67;14.67;13.45;12.64;71.1;0412 A2_1_71.1
247;NA;9.06;9.06;8.19;8.26;71.2;0412 A2_1_71.2
248;14;14;13.46;12.59;11.94;72;0412 A2_1_72
249;NA;11.2;11.2;10.83;10.49;73;0412 A2_1_73
250;NA;10.52;10.52;10.2;9.97;74.1;0412 A2_1_74.1
251;NA;9.75;9.75;9.37;9.27;74.2;0412 A2_1_74.2
252;NA;9.01;9.01;7.25;7.44;74.3;0412 A2_1_74.3
253;NA;13.9;13.9;12.91;12.2;75;0412 A2_1_75
254;NA;14.34;14.34;13.22;12.46;76.1;0412 A2_1_76.1
255;NA;9.14;9.14;8.39;8.43;76.2;0412 A2_1_76.2
256;18;18;19.05;16.75;15.32;77;0412 A2_1_77
257;NA;11.4;11.4;11;10.64;78;0412 A2_1_78
258;NA;16.45;16.45;14.71;13.67;79;0412 A2_1_79
259;NA;14.67;14.67;13.45;12.64;80;0412 A2_1_80
260;NA;14.67;14.67;13.45;12.64;81;0412 A2_1_81
261;NA;8.96;8.96;7.56;7.72;82;0412 A2_1_82
262;18.5;18.5;16.94;15.07;13.95;83;0412 A2_1_83
263;NA;11.4;11.4;11;10.64;84;0412 A2_1_84
264;NA;9.47;9.47;8.98;8.94;85;0412 A2_1_85
265;NA;11.3;11.3;10.92;10.56;86;0412 A2_1_86
266;17;17;16.74;14.92;13.84;87;0412 A2_1_87
267;8.5;8.5;9.34;8.79;8.77;88;0412 A2_1_88
268;NA;13.12;13.12;12.35;11.74;89;0412 A2_1_89
269;NA;9.91;9.91;9.56;9.43;90;0412 A2_1_90
270;NA;15.52;15.52;14.06;13.13;92;0412 A2_1_92
271;NA;11.93;11.93;11.43;10.99;93;0412 A2_1_93
272;NA;12.03;12.03;11.52;11.06;94;0412 A2_1_94
273;NA;12.79;12.79;12.1;11.54;95;0412 A2_1_95
274;NA;9.6;9.6;9.17;9.1;96;0412 A2_1_96
275;NA;9.14;9.14;8.39;8.43;97;0412 A2_1_97
276;NA;11.4;11.4;11;10.64;98;0412 A2_1_98
277;NA;9.99;9.99;9.65;9.51;99;0412 A2_1_99
278;NA;10.16;10.16;9.84;9.66;1;0412 A2_2_1
279;14.5;14.5;15.52;14.06;13.13;2;0412 A2_2_2
