;HT;Hmix;Hlocal;Hfeld;Hchave;Placa;codigo
552;NA;20.98;20.98;19.09;15.77;23.1;0800 A3_021SAM_23.1
553;NA;13.01;13.01;12.27;10.69;23.2;0800 A3_021SAM_23.2
554;12;12;13.35;12.51;10.87;24;0800 A3_021SAM_24
555;NA;13.12;13.12;12.35;10.75;25;0800 A3_021SAM_25
556;9.5;9.5;9.6;9.17;8.33;26;0800 A3_021SAM_26
557;NA;9.01;9.01;7.25;6.81;27;0800 A3_021SAM_27
558;NA;9.4;9.4;8.88;8.11;28;0800 A3_021SAM_28
559;NA;12.47;12.47;11.86;10.38;29;0800 A3_021SAM_29
560;15;15;16.94;15.07;12.77;30;0800 A3_021SAM_30
561;13;13;15.94;14.35;12.24;31;0800 A3_021SAM_31
562;NA;14.99;14.99;13.68;11.74;32;0800 A3_021SAM_32
563;10.5;10.5;11.5;11.09;9.8;33;0800 A3_021SAM_33
564;14.5;14.5;15.84;14.28;12.19;34;0800 A3_021SAM_34
565;NA;9.01;9.01;7.25;6.81;35;0800 A3_021SAM_35
566;NA;18.6;18.6;16.36;13.73;36.1;0800 A3_021SAM_36.1
567;NA;9.06;9.06;8.19;7.56;36.2;0800 A3_021SAM_36.2
568;NA;9.06;9.06;8.19;7.56;37;0800 A3_021SAM_37
569;10;10;9.91;9.56;8.63;38;0800 A3_021SAM_38
570;NA;9.4;9.4;8.88;8.11;39;0800 A3_021SAM_39
571;NA;10.7;10.7;10.38;9.26;40.1;0800 A3_021SAM_40.1
572;NA;13.12;13.12;12.35;10.75;41;0800 A3_021SAM_41
573;NA;11.4;11.4;11;9.74;42;0800 A3_021SAM_42
574;13.5;13.5;15.21;13.83;11.86;43;0800 A3_021SAM_43
575;NA;8.97;8.97;7.77;7.23;44;0800 A3_021SAM_44
576;NA;20.83;20.83;18.81;15.56;45;0800 A3_021SAM_45
577;18.5;18.5;21.2;19.64;16.19;46;0800 A3_021SAM_46
578;NA;17.85;17.85;15.76;13.28;47;0800 A3_021SAM_47
579;NA;14.88;14.88;13.61;11.69;48;0800 A3_021SAM_48
580;NA;8.98;8.98;7.88;7.31;49;0800 A3_021SAM_49
581;NA;12.25;12.25;11.69;10.25;50.1;0800 A3_021SAM_50.1
582;NA;8.97;8.97;7.77;7.23;50.2;0800 A3_021SAM_50.2
583;NA;13.57;13.57;12.67;10.99;51;0800 A3_021SAM_51
584;NA;18.19;18.19;16.03;13.48;52;0800 A3_021SAM_52
585;NA;19.46;19.46;17.13;14.3;53;0800 A3_021SAM_53
586;NA;13.12;13.12;12.35;10.75;54;0800 A3_021SAM_54
587;NA;17.85;17.85;15.76;13.28;55;0800 A3_021SAM_55
588;NA;9.83;9.83;9.46;8.56;56;0800 A3_021SAM_56
589;14.5;14.5;16.74;14.92;12.67;57;0800 A3_021SAM_57
590;NA;12.25;12.25;11.69;10.25;58;0800 A3_021SAM_58
591;NA;10.42;10.42;10.11;9.06;59;0800 A3_021SAM_59
592;NA;17.22;17.22;15.28;12.93;60;0800 A3_021SAM_60
593;NA;17.85;17.85;15.76;13.28;61;0800 A3_021SAM_61
594;NA;20;20;17.68;14.72;62;0800 A3_021SAM_62
595;NA;19.71;19.71;17.38;14.49;63;0800 A3_021SAM_63
596;NA;20.89;20.89;18.92;15.64;64;0800 A3_021SAM_64
597;NA;9.18;9.18;8.49;7.8;65;0800 A3_021SAM_65
598;12.5;12.5;12.36;11.77;10.36;1;0804 A3_032SAM_1
599;NA;10.7;10.7;10.38;9.3;2;0804 A3_032SAM_2
600;NA;9.68;9.68;9.27;8.44;3;0804 A3_032SAM_3
601;NA;15.21;15.21;13.83;11.91;4;0804 A3_032SAM_4
602;NA;15.1;15.1;13.76;11.85;5;0804 A3_032SAM_5
603;17;17;12.57;11.94;10.49;6;0804 A3_032SAM_6
604;17.5;17.5;14.56;13.38;11.57;8;0804 A3_032SAM_8
605;NA;10.9;10.9;10.56;9.44;9.1;0804 A3_032SAM_9.1
606;NA;9.04;9.04;7.14;6.75;9.2;0804 A3_032SAM_9.2
607;NA;13.35;13.35;12.51;10.92;10;0804 A3_032SAM_10
608;NA;11.71;11.71;11.26;9.98;11;0804 A3_032SAM_11
609;NA;12.25;12.25;11.69;10.3;12;0804 A3_032SAM_12
610;NA;15.31;15.31;13.91;11.96;13;0804 A3_032SAM_13
611;14.75;14.75;16.25;14.57;12.46;14;0804 A3_032SAM_14
612;17.25;17.25;15.42;13.98;12.02;15;0804 A3_032SAM_15
613;NA;11.93;11.93;11.43;10.11;16;0804 A3_032SAM_16
614;NA;13.01;13.01;12.27;10.74;17;0804 A3_032SAM_17
615;19;19;17.03;15.14;12.88;18;0804 A3_032SAM_18
616;18.25;18.25;11.4;11;9.78;19;0804 A3_032SAM_19
617;NA;14.78;14.78;13.53;11.68;20;0804 A3_032SAM_20
618;NA;12.57;12.57;11.94;10.49;22.1;0804 A3_032SAM_22.1
619;NA;9.01;9.01;7.25;6.84;22.2;0804 A3_032SAM_22.2
620;NA;10.24;10.24;9.93;8.95;23;0804 A3_032SAM_23
621;16.5;16.5;15.1;13.76;11.85;24;0804 A3_032SAM_24
622;15.5;15.5;14.01;12.99;11.28;26;0804 A3_032SAM_26
623;NA;9.29;9.29;8.69;7.99;27;0804 A3_032SAM_27
624;NA;11.71;11.71;11.26;9.98;28.1;0804 A3_032SAM_28.1
625;NA;9.29;9.29;8.69;7.99;28.2;0804 A3_032SAM_28.2
626;NA;14.78;14.78;13.53;11.68;29;0804 A3_032SAM_29
627;16.5;16.5;15.31;13.91;11.96;30;0804 A3_032SAM_30
628;NA;13.79;13.79;12.83;11.16;31;0804 A3_032SAM_31
629;NA;12.25;12.25;11.69;10.3;32;0804 A3_032SAM_32
630;NA;8.96;8.96;7.67;7.18;33;0804 A3_032SAM_33
631;NA;11.82;11.82;11.35;10.04;34;0804 A3_032SAM_34
632;NA;10.24;10.24;9.93;8.95;35;0804 A3_032SAM_35
633;NA;12.03;12.03;11.52;10.17;36;0804 A3_032SAM_36
634;NA;13.01;13.01;12.27;10.74;37;0804 A3_032SAM_37
635;NA;12.9;12.9;12.19;10.67;38;0804 A3_032SAM_38
636;NA;13.9;13.9;12.91;11.22;39;0804 A3_032SAM_39
637;NA;14.23;14.23;13.14;11.39;40;0804 A3_032SAM_40
638;NA;11.93;11.93;11.43;10.11;41;0804 A3_032SAM_41
639;NA;16.04;16.04;14.42;12.35;42;0804 A3_032SAM_42
640;19;19;17.31;15.35;13.04;43;0804 A3_032SAM_43
641;NA;14.99;14.99;13.68;11.79;44;0804 A3_032SAM_44
642;NA;11.93;11.93;11.43;10.11;45;0804 A3_032SAM_45
643;16;16;14.78;13.53;11.68;46;0804 A3_032SAM_46
644;12.5;12.5;9.91;9.56;8.67;47;0804 A3_032SAM_47
645;NA;16.25;16.25;14.57;12.46;48;0804 A3_032SAM_48
646;NA;13.01;13.01;12.27;10.74;49;0804 A3_032SAM_49
647;NA;12.25;12.25;11.69;10.3;50;0804 A3_032SAM_50
648;NA;18.11;18.11;15.96;13.49;51;0804 A3_032SAM_51
649;NA;11.93;11.93;11.43;10.11;52;0804 A3_032SAM_52
650;NA;13.12;13.12;12.35;10.8;53;0804 A3_032SAM_53
651;NA;14.12;14.12;13.07;11.33;54;0804 A3_032SAM_54
652;19.5;19.5;17.94;15.82;13.39;55;0804 A3_032SAM_55
653;NA;12.14;12.14;11.6;10.23;56;0804 A3_032SAM_56
654;NA;13.35;13.35;12.51;10.92;57;0804 A3_032SAM_57
655;NA;16.94;16.94;15.07;12.83;58.1;0804 A3_032SAM_58.1
656;NA;9.6;9.6;9.17;8.37;58.2;0804 A3_032SAM_58.2
657;NA;17.5;17.5;15.48;13.14;59;0804 A3_032SAM_59
658;NA;14.67;14.67;13.45;11.62;60;0804 A3_032SAM_60
659;NA;12.68;12.68;12.02;10.55;61;0804 A3_032SAM_61
660;NA;12.68;12.68;12.02;10.55;62;0804 A3_032SAM_62
661;NA;11.5;11.5;11.09;9.84;63;0804 A3_032SAM_63
662;NA;12.68;12.68;12.02;10.55;64;0804 A3_032SAM_64
663;NA;13.9;13.9;12.91;11.22;65;0804 A3_032SAM_65
664;NA;16.94;16.94;15.07;12.83;66;0804 A3_032SAM_66
665;NA;14.88;14.88;13.61;11.74;67;0804 A3_032SAM_67
666;NA;16.84;16.84;15;12.77;68;0804 A3_032SAM_68
667;NA;13.9;13.9;12.91;11.22;69;0804 A3_032SAM_69
668;NA;17.13;17.13;15.21;12.93;70;0804 A3_032SAM_70
669;NA;11.1;11.1;10.74;9.58;72;0804 A3_032SAM_72
670;NA;13.01;13.01;12.27;10.74;73;0804 A3_032SAM_73
671;NA;9.75;9.75;9.37;8.52;74;0804 A3_032SAM_74
672;NA;9.06;9.06;8.19;7.59;75;0804 A3_032SAM_75
673;NA;19.88;19.88;17.56;14.69;76;0804 A3_032SAM_76
674;19;19;20.57;18.4;15.32;77;0804 A3_032SAM_77
675;18.75;18.75;15.1;13.76;11.85;78;0804 A3_032SAM_78
676;NA;14.78;14.78;13.53;11.68;79;0804 A3_032SAM_79
677;NA;16.84;16.84;15;12.77;80;0804 A3_032SAM_80
678;17.5;17.5;13.12;12.35;10.8;81;0804 A3_032SAM_81
679;8;8;8.98;7.35;6.92;82;0804 A3_032SAM_82
680;NA;13.01;13.01;12.27;10.74;83;0804 A3_032SAM_83
681;NA;17.77;17.77;15.69;13.47;1;0805 A3_036SAM_1
682;NA;14.23;14.23;13.14;11.54;2;0805 A3_036SAM_2
683;NA;10.24;10.24;9.93;9.07;3;0805 A3_036SAM_3
684;NA;16.04;16.04;14.42;12.51;4.1;0805 A3_036SAM_4.1
685;NA;8.98;8.98;7.88;7.44;4.2;0805 A3_036SAM_4.2
686;NA;14.88;14.88;13.61;11.89;5;0805 A3_036SAM_5
687;16.5;16.5;17.41;15.41;13.26;6;0805 A3_036SAM_6
688;16;16;19.77;17.44;14.79;7;0805 A3_036SAM_7
689;12;12;11.1;10.74;9.7;8;0805 A3_036SAM_8
690;10;10;9.47;8.98;8.33;9;0805 A3_036SAM_9
691;15.5;15.5;17.41;15.41;13.26;10;0805 A3_036SAM_10
692;NA;16.45;16.45;14.71;12.73;11;0805 A3_036SAM_11
693;NA;16.25;16.25;14.57;12.62;12;0805 A3_036SAM_12
694;NA;16.25;16.25;14.57;12.62;13;0805 A3_036SAM_13
695;NA;16.45;16.45;14.71;12.73;14;0805 A3_036SAM_14
696;NA;15.1;15.1;13.76;12.01;15;0805 A3_036SAM_15
697;NA;15.1;15.1;13.76;12.01;16;0805 A3_036SAM_16
698;NA;13.79;13.79;12.83;11.3;17;0805 A3_036SAM_17
699;NA;15.63;15.63;14.13;12.29;18;0805 A3_036SAM_18
700;NA;10.9;10.9;10.56;9.57;19.1;0805 A3_036SAM_19.1
701;NA;8.96;8.96;7.67;7.27;19.2;0805 A3_036SAM_19.2
702;NA;13.24;13.24;12.43;11;20;0805 A3_036SAM_20
703;17;17;16.04;14.42;12.51;21;0805 A3_036SAM_21
704;15;15;13.46;12.59;11.12;22;0805 A3_036SAM_22
705;NA;10.52;10.52;10.2;9.29;23;0805 A3_036SAM_23
706;NA;10.8;10.8;10.47;9.5;24;0805 A3_036SAM_24
707;NA;14.99;14.99;13.68;11.95;25;0805 A3_036SAM_25
708;NA;17.5;17.5;15.48;13.31;26;0805 A3_036SAM_26
709;NA;13.46;13.46;12.59;11.12;27;0805 A3_036SAM_27
710;15;15;14.78;13.53;11.83;28;0805 A3_036SAM_28
711;19.5;19.5;8.97;7.77;7.36;29;0805 A3_036SAM_29
712;16;16;13.46;12.59;11.12;30;0805 A3_036SAM_30
713;NA;21.01;21.01;19.15;16.09;31;0805 A3_036SAM_31
714;NA;16.94;16.94;15.07;13;32;0805 A3_036SAM_32
715;NA;9.29;9.29;8.69;8.09;33;0805 A3_036SAM_33
716;NA;13.46;13.46;12.59;11.12;36;0805 A3_036SAM_36
717;NA;16.04;16.04;14.42;12.51;37;0805 A3_036SAM_37
718;18;18;17.13;15.21;13.1;38;0805 A3_036SAM_38
719;18;18;19.39;17.06;14.51;39;0805 A3_036SAM_39
720;NA;11.1;11.1;10.74;9.7;40;0805 A3_036SAM_40
721;NA;9.68;9.68;9.27;8.56;41;0805 A3_036SAM_41
722;NA;17.94;17.94;15.82;13.57;42;0805 A3_036SAM_42
723;15.5;15.5;12.47;11.86;10.56;43;0805 A3_036SAM_43
724;16;16;17.77;15.69;13.47;44;0805 A3_036SAM_44
725;NA;11;11;10.65;9.64;45;0805 A3_036SAM_45
726;NA;11.4;11.4;11;9.91;46;0805 A3_036SAM_46
727;NA;16.04;16.04;14.42;12.51;47;0805 A3_036SAM_47
728;NA;11.93;11.93;11.43;10.24;48;0805 A3_036SAM_48
729;NA;16.74;16.74;14.92;12.89;49;0805 A3_036SAM_49
730;NA;13.35;13.35;12.51;11.06;50;0805 A3_036SAM_50
731;NA;15.21;15.21;13.83;12.06;51;0805 A3_036SAM_51
732;NA;15.21;15.21;13.83;12.06;52;0805 A3_036SAM_52
733;15.5;15.5;14.23;13.14;11.54;54;0805 A3_036SAM_54
734;14;14;13.01;12.27;10.88;55;0805 A3_036SAM_55
735;NA;8.96;8.96;7.56;7.19;56;0805 A3_036SAM_56
736;16;16;13.01;12.27;10.51;1.1;1703 A2_121CUC_1.1
737;NA;9.83;9.83;9.46;8.41;1.2;1703 A2_121CUC_1.2
738;17;17;11.71;11.26;9.77;2;1703 A2_121CUC_2
739;16.5;16.5;14.88;13.61;11.49;3;1703 A2_121CUC_3
740;19;19;11.71;11.26;9.77;4;1703 A2_121CUC_4
741;14.25;14.25;11.93;11.43;9.89;5;1703 A2_121CUC_5
742;19;19;16.15;14.5;12.14;6;1703 A2_121CUC_6
743;NA;15.73;15.73;14.2;11.93;7;1703 A2_121CUC_7
744;9.5;9.5;9.99;9.65;8.56;8;1703 A2_121CUC_8
745;10.5;10.5;11.2;10.83;9.44;9;1703 A2_121CUC_9
746;14.25;14.25;12.79;12.1;10.39;10;1703 A2_121CUC_10
747;15;15;13.24;12.43;10.63;11;1703 A2_121CUC_11
748;20.5;20.5;18.52;16.29;13.45;12;1703 A2_121CUC_12
749;13;13;16.55;14.78;12.35;13;1703 A2_121CUC_13
750;10.5;10.5;13.57;12.67;10.81;14;1703 A2_121CUC_14
751;18;18;17.85;15.76;13.06;15;1703 A2_121CUC_15
752;19;19;14.99;13.68;11.55;16;1703 A2_121CUC_16
753;NA;16.55;16.55;14.78;12.35;17;1703 A2_121CUC_17
754;NA;14.23;14.23;13.14;11.15;18;1703 A2_121CUC_18
755;NA;14.88;14.88;13.61;11.49;19;1703 A2_121CUC_19
756;NA;12.47;12.47;11.86;10.21;20;1703 A2_121CUC_20
757;NA;17.22;17.22;15.28;12.71;21;1703 A2_121CUC_21
758;NA;16.45;16.45;14.71;12.3;22;1703 A2_121CUC_22
759;NA;11.93;11.93;11.43;9.89;23;1703 A2_121CUC_23
760;NA;11.4;11.4;11;9.57;24;1703 A2_121CUC_24
761;18.5;18.5;14.45;13.3;11.27;25;1703 A2_121CUC_25
762;14.5;14.5;15.63;14.13;11.87;26;1703 A2_121CUC_26
763;14.75;14.75;14.01;12.99;11.04;27;1703 A2_121CUC_27
764;NA;14.45;14.45;13.3;11.27;28;1703 A2_121CUC_28
765;NA;18.28;18.28;16.09;13.31;29;1703 A2_121CUC_29
766;NA;13.57;13.57;12.67;10.81;30;1703 A2_121CUC_30
767;NA;15.94;15.94;14.35;12.04;31;1703 A2_121CUC_31
768;NA;14.56;14.56;13.38;11.32;32;1703 A2_121CUC_32
769;NA;16.04;16.04;14.42;12.09;33;1703 A2_121CUC_33
770;NA;11.4;11.4;11;9.57;34;1703 A2_121CUC_34
771;NA;13.57;13.57;12.67;10.81;35;1703 A2_121CUC_35
772;NA;12.47;12.47;11.86;10.21;36;1703 A2_121CUC_36
773;NA;17.31;17.31;15.35;12.76;37;1703 A2_121CUC_37
774;NA;13.79;13.79;12.83;10.92;38;1703 A2_121CUC_38
775;NA;12.14;12.14;11.6;10.02;39;1703 A2_121CUC_39
776;NA;12.25;12.25;11.69;10.08;40;1703 A2_121CUC_40
777;NA;13.57;13.57;12.67;10.81;41;1703 A2_121CUC_41
778;NA;14.12;14.12;13.07;11.1;42;1703 A2_121CUC_42
779;NA;17.22;17.22;15.28;12.71;43;1703 A2_121CUC_43
780;NA;15.52;15.52;14.06;11.82;45;1703 A2_121CUC_45
781;NA;11.1;11.1;10.74;9.38;46;1703 A2_121CUC_46
782;NA;16.55;16.55;14.78;12.35;47;1703 A2_121CUC_47
783;NA;11.3;11.3;10.92;9.51;48;1703 A2_121CUC_48
784;NA;15.1;15.1;13.76;11.6;49;1703 A2_121CUC_49
785;NA;16.04;16.04;14.42;12.09;50.1;1703 A2_121CUC_50.1
786;NA;12.47;12.47;11.86;10.21;50.2;1703 A2_121CUC_50.2
787;NA;15.21;15.21;13.83;11.66;51.1;1703 A2_121CUC_51.1
788;NA;11;11;10.65;9.31;51.2;1703 A2_121CUC_51.2
789;NA;10.7;10.7;10.38;9.11;52.1;1703 A2_121CUC_52.1
790;NA;9.4;9.4;8.88;7.97;52.2;1703 A2_121CUC_52.2
791;NA;10.24;10.24;9.93;8.77;53;1703 A2_121CUC_53
792;NA;16.45;16.45;14.71;12.3;54;1703 A2_121CUC_54
793;NA;15.73;15.73;14.2;11.93;55;1703 A2_121CUC_55
794;NA;9.04;9.04;7.14;6.61;56;1703 A2_121CUC_56
795;NA;16.74;16.74;14.92;12.46;57;1703 A2_121CUC_57
796;NA;8.98;8.98;7.35;6.78;58;1703 A2_121CUC_58
797;NA;8.96;8.96;7.67;7.03;59;1703 A2_121CUC_59
798;NA;11.4;11.4;11;9.57;60;1703 A2_121CUC_60
799;NA;12.47;12.47;11.86;10.21;61;1703 A2_121CUC_61
800;NA;13.35;13.35;12.51;10.69;62;1703 A2_121CUC_62
801;NA;15.73;15.73;14.2;11.93;63;1703 A2_121CUC_63
802;NA;14.67;14.67;13.45;11.38;64;1703 A2_121CUC_64
803;NA;14.45;14.45;13.3;11.27;65;1703 A2_121CUC_65
804;NA;11.2;11.2;10.83;9.44;66;1703 A2_121CUC_66
805;NA;12.47;12.47;11.86;10.21;67;1703 A2_121CUC_67
806;NA;13.57;13.57;12.67;10.81;68;1703 A2_121CUC_68
